File,Lines,Missing,Coverage
roadmap/adapters/persistence/file_synchronizer.py,37,4,89%
roadmap/adapters/persistence/focused_managers.py,59,0,100%
roadmap/adapters/persistence/parser/__init__.py,5,0,100%
roadmap/adapters/persistence/parser/frontmatter.py,45,0,100%
roadmap/adapters/persistence/parser/issue.py,103,13,87%
roadmap/adapters/persistence/parser/milestone.py,60,13,78%
roadmap/adapters/persistence/parser/project.py,21,0,100%
roadmap/adapters/persistence/persistence.py,121,32,74%
roadmap/adapters/persistence/repositories/__init__.py,5,0,100%
roadmap/adapters/persistence/repositories/issue_repository.py,53,25,53%
roadmap/adapters/persistence/repositories/milestone_repository.py,44,0,100%
roadmap/adapters/persistence/repositories/project_repository.py,57,4,93%
roadmap/adapters/persistence/repositories/sync_state_repository.py,22,6,73%
roadmap/adapters/persistence/storage/__init__.py,7,0,100%
roadmap/adapters/persistence/storage/conflicts.py,49,0,100%
roadmap/adapters/persistence/storage/connection_manager.py,31,0,100%
roadmap/adapters/persistence/storage/issue_storage.py,28,8,71%
roadmap/adapters/persistence/storage/milestone_storage.py,24,4,83%
roadmap/adapters/persistence/storage/project_storage.py,31,0,100%
roadmap/adapters/persistence/storage/queries.py,87,2,98%
roadmap/adapters/persistence/storage/state_manager.py,143,19,87%
roadmap/adapters/persistence/storage/sync_state_storage.py,67,25,63%
roadmap/adapters/persistence/sync_orchestrator.py,117,15,87%
roadmap/adapters/persistence/sync_state_tracker.py,41,0,100%
roadmap/adapters/persistence/yaml_repositories.py,124,46,63%
roadmap/common/__init__.py,13,0,100%
roadmap/common/cache.py,64,0,100%
roadmap/common/cli_errors.py,50,20,60%
roadmap/common/cli_helpers.py,142,14,90%
roadmap/common/cli_models.py,71,0,100%
roadmap/common/config_loader.py,98,11,89%
roadmap/common/config_manager.py,75,21,72%
roadmap/common/config_models.py,37,1,97%
roadmap/common/config_schema.py,43,0,100%
roadmap/common/console.py,17,2,88%
roadmap/common/constants.py,70,0,100%
roadmap/common/datetime_parser.py,101,13,87%
roadmap/common/decorators.py,30,1,97%
roadmap/common/error_formatter.py,25,0,100%
roadmap/common/errors/__init__.py,13,0,100%
roadmap/common/errors/error_base.py,37,6,84%
roadmap/common/errors/error_file.py,26,8,69%
roadmap/common/errors/error_git.py,19,14,26%
roadmap/common/errors/error_handler.py,62,47,24%
roadmap/common/errors/error_network.py,24,4,83%
roadmap/common/errors/error_security.py,22,14,36%
roadmap/common/errors/error_standards.py,161,9,94%
roadmap/common/errors/error_validation.py,33,0,100%
roadmap/common/errors/exceptions.py,91,21,77%
roadmap/common/file_utils.py,137,67,51%
roadmap/common/logging.py,110,35,68%
roadmap/common/logging_utils.py,50,22,56%
roadmap/common/metrics.py,53,0,100%
roadmap/common/output_formatter.py,129,33,74%
roadmap/common/output_models.py,120,11,91%
roadmap/common/path_utils.py,6,0,100%
roadmap/common/performance.py,84,0,100%
roadmap/common/profiling.py,85,2,98%
roadmap/common/progress.py,112,26,77%
roadmap/common/retry.py,85,10,88%
roadmap/common/security/__init__.py,10,0,100%
roadmap/common/security/exceptions.py,4,0,100%
roadmap/common/security/export_cleanup.py,27,2,93%
roadmap/common/security/file_operations.py,36,2,94%
roadmap/common/security/filename_sanitization.py,20,1,95%
roadmap/common/security/logging.py,30,2,93%
roadmap/common/security/path_validation.py,58,11,81%
roadmap/common/security/temp_files.py,16,0,100%
roadmap/common/status_style_manager.py,33,7,79%
roadmap/common/status_utils.py,21,0,100%
roadmap/common/timezone_utils.py,183,53,71%
roadmap/common/update_constants.py,2,0,100%
roadmap/common/validation/__init__.py,7,0,100%
roadmap/common/validation/field_validator.py,48,0,100%
roadmap/common/validation/result.py,14,1,93%
roadmap/common/validation/roadmap_validator.py,145,11,92%
roadmap/common/validation/schema_validator.py,17,0,100%
roadmap/common/validation/validators.py,29,8,72%
roadmap/core/__init__.py,0,0,100%
roadmap/core/domain/__init__.py,5,0,100%
roadmap/core/domain/comment.py,14,0,100%
roadmap/core/domain/health.py,5,0,100%
roadmap/core/domain/issue.py,114,21,82%
roadmap/core/domain/milestone.py,85,18,79%
roadmap/core/domain/project.py,64,25,61%
roadmap/core/interfaces/__init__.py,10,0,100%
roadmap/core/interfaces/state_managers.py,27,0,100%
roadmap/core/models.py,62,0,100%
roadmap/core/repositories.py,22,0,100%
roadmap/core/services/__init__.py,9,0,100%
roadmap/core/services/assignee_validation_service.py,102,6,94%
roadmap/core/services/backup_cleanup_service.py,84,0,100%
roadmap/core/services/base_validator.py,25,2,92%
roadmap/core/services/comment_service.py,69,1,99%
roadmap/core/services/configuration_service.py,23,0,100%
roadmap/core/services/critical_path_calculator.py,153,3,98%
roadmap/core/services/data_integrity_validator_service.py,26,0,100%
roadmap/core/services/dependency_analyzer.py,142,5,96%
roadmap/core/services/entity_health_scanner.py,186,18,90%
roadmap/core/services/file_repair_service.py,78,4,95%
roadmap/core/services/git_hook_auto_sync_service.py,121,15,88%
roadmap/core/services/github_config_validator.py,69,10,86%
roadmap/core/services/github_conflict_detector.py,65,16,75%
roadmap/core/services/github_integration_service.py,146,37,75%
roadmap/core/services/github_issue_client.py,67,0,100%
roadmap/core/services/github_sync_orchestrator.py,154,11,93%
roadmap/core/services/health_check_service.py,66,15,77%
roadmap/core/services/infrastructure_validator_service.py,117,0,100%
roadmap/core/services/initialization/__init__.py,4,0,100%
roadmap/core/services/initialization/utils.py,54,23,57%
roadmap/core/services/initialization/validator.py,33,7,79%
roadmap/core/services/initialization/workflow.py,73,15,79%
roadmap/core/services/initialization_service.py,33,12,64%
roadmap/core/services/issue_creation_service.py,111,8,93%
roadmap/core/services/issue_helpers/__init__.py,2,0,100%
roadmap/core/services/issue_helpers/issue_filters.py,108,26,76%
roadmap/core/services/issue_service.py,134,10,93%
roadmap/core/services/issue_update_service.py,51,0,100%
roadmap/core/services/milestone_service.py,147,15,90%
roadmap/core/services/project_init/__init__.py,5,0,100%
roadmap/core/services/project_init/context_detection.py,64,20,69%
roadmap/core/services/project_init/creation.py,23,0,100%
